,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Salary Level,low_salary,medium_salary,high_salary
0,2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,Low Salary,85847,,
1,2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,Low Salary,30000,,
2,2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,Low Salary,25500,,
3,2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M,High Salary,,,175000
4,2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M,Medium Salary,,120000,
5,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,High Salary,,,222200
6,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,High Salary,,,136000
7,2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M,High Salary,,,219000
8,2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M,High Salary,,,141000
9,2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,High Salary,,,147100
10,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,Low Salary,90700,,
11,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,Medium Salary,,130000,
12,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Medium Salary,,100000,
13,2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,High Salary,,,213660
14,2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,Medium Salary,,130760,
15,2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,High Salary,,,147100
16,2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,Low Salary,90700,,
17,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,High Salary,,,170000
18,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,High Salary,,,150000
19,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,High Salary,,,150000
20,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,Medium Salary,,110000,
21,2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M,High Salary,,,275000
22,2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M,High Salary,,,174000
